call_count,is_exported,used_in_tests,dynamic_call_risk,cyclomatic_complexity,file_depth,dead_code_probability,label
2,1,1,0.51,8,3,0.047,0
0,0,0,0.46,12,3,0.733,1
3,1,1,0.62,5,5,0.224,0
3,1,1,0.36,1,1,0.147,0
4,0,1,0.53,7,7,0.171,0
0,0,0,0.15,10,2,0.718,1
8,0,1,0.44,4,7,0.294,0
0,0,0,0.07,3,9,0.962,1
2,0,1,0.26,14,9,0.251,0
0,0,0,0.41,14,2,0.979,1
0,0,0,0.37,9,4,0.948,1
0,0,0,0.16,3,8,0.92,1
9,0,1,0.15,3,6,0.191,0
0,0,0,0.38,12,5,0.779,1
3,0,1,0.21,5,5,0.099,0
9,1,1,0.27,14,4,0.047,0
10,0,1,0.42,1,4,0.056,0
4,0,1,0.26,7,6,0.138,0
0,0,0,0.47,5,1,0.7,1
0,0,0,0.37,3,8,0.932,1
0,0,0,0.06,6,5,0.924,1
7,1,1,0.48,8,7,0.064,0
2,1,1,0.37,10,6,0.064,0
0,0,0,0.03,2,2,0.956,1
10,0,1,0.15,10,5,0.265,0
9,1,1,0.32,2,7,0.291,0
0,0,0,0.25,11,7,0.723,1
5,1,1,0.03,10,9,0.157,0
0,0,0,0.31,11,6,0.842,1
0,0,0,0.22,14,6,0.964,1
0,0,0,0.2,6,9,0.76,1
10,0,1,0.24,4,7,0.237,0
0,0,0,0.25,7,4,0.804,1
0,0,0,0.35,14,2,0.952,1
5,0,1,0.32,5,8,0.14,0
5,0,1,0.11,7,6,0.237,0
8,0,1,0.34,1,7,0.112,0
7,0,1,0.42,4,3,0.067,0
0,0,0,0.19,4,2,0.851,1
9,1,1,0.17,14,7,0.094,0
7,1,1,0.15,9,2,0.297,0
2,0,1,0.24,2,1,0.061,0
2,1,1,0.3,13,2,0.205,0
9,0,1,0.54,7,9,0.168,0
0,0,0,0.32,10,4,0.743,1
0,0,0,0.18,12,4,0.877,1
8,0,1,0.24,12,4,0.181,0
2,0,1,0.34,13,5,0.068,0
2,1,1,0.08,13,6,0.295,0
2,0,1,0.42,1,5,0.174,0
8,0,1,0.16,13,5,0.046,0
0,0,0,0.09,7,2,0.774,1
10,1,1,0.22,14,5,0.239,0
0,0,0,0.09,1,4,0.978,1
0,0,0,0.09,2,1,0.779,1
0,0,0,0.3,10,8,0.806,1
7,0,1,0.13,1,2,0.256,0
0,0,0,0.17,7,5,0.773,1
0,0,0,0.17,13,8,0.858,1
0,0,0,0.24,13,1,0.917,1
8,1,1,0.09,4,7,0.143,0
8,0,1,0.63,5,3,0.081,0
9,1,1,0.13,10,2,0.242,0
0,0,0,0.2,6,2,0.871,1
9,1,1,0.15,8,5,0.17,0
6,0,1,0.12,13,1,0.214,0
0,0,0,0.21,10,3,0.826,1
7,0,1,0.15,7,5,0.177,0
0,0,0,0.28,14,4,0.749,1
0,0,0,0.3,12,8,0.871,1
8,0,1,0.27,12,6,0.041,0
0,0,0,0.51,13,2,0.958,1
5,0,1,0.2,14,6,0.095,0
0,0,0,0.4,13,2,0.856,1
10,0,1,0.64,8,6,0.153,0
0,0,0,0.22,6,7,0.865,1
7,0,1,0.18,12,9,0.024,0
8,1,1,0.2,8,9,0.192,0
4,0,1,0.09,14,4,0.031,0
0,0,0,0.39,1,4,0.807,1
9,0,1,0.26,6,3,0.059,0
9,0,1,0.5,11,5,0.068,0
6,0,1,0.32,14,5,0.286,0
3,0,1,0.19,1,4,0.21,0
0,0,0,0.22,8,3,0.765,1
7,1,1,0.06,2,7,0.106,0
5,0,1,0.29,12,7,0.257,0
6,1,1,0.1,14,3,0.17,0
10,1,1,0.34,9,7,0.119,0
9,0,1,0.26,2,4,0.043,0
3,1,1,0.06,4,1,0.249,0
0,0,0,0.15,7,7,0.721,1
10,1,1,0.22,14,2,0.064,0
7,1,1,0.36,2,7,0.136,0
4,0,1,0.64,13,9,0.152,0
0,0,0,0.3,9,5,0.927,1
0,0,0,0.29,11,8,0.968,1
0,0,0,0.29,10,1,0.754,1
8,0,1,0.16,7,9,0.131,0
6,0,1,0.32,11,2,0.256,0
7,0,1,0.37,7,4,0.143,0
9,0,1,0.45,12,4,0.067,0
10,0,1,0.07,4,6,0.111,0
10,0,1,0.52,7,2,0.039,0
5,0,1,0.1,3,6,0.094,0
0,0,0,0.38,2,4,0.788,1
3,0,1,0.23,4,6,0.219,0
8,0,1,0.23,2,2,0.042,0
0,0,0,0.55,12,5,0.736,1
0,0,0,0.15,2,5,0.941,1
0,0,0,0.24,7,6,0.911,1
0,0,0,0.06,9,2,0.845,1
6,0,1,0.37,1,9,0.176,0
0,0,0,0.03,13,7,0.904,1
10,1,1,0.14,6,4,0.221,0
10,0,1,0.27,7,1,0.133,0
8,0,1,0.22,9,6,0.042,0
0,0,0,0.15,12,2,0.852,1
0,0,0,0.37,9,8,0.843,1
3,0,1,0.09,6,4,0.047,0
0,0,0,0.33,7,7,0.784,1
9,0,1,0.2,4,1,0.299,0
0,0,0,0.35,4,9,0.717,1
6,1,1,0.25,1,2,0.032,0
0,0,0,0.05,2,8,0.849,1
8,0,1,0.15,12,9,0.136,0
0,0,0,0.15,14,7,0.777,1
6,0,1,0.25,8,4,0.272,0
2,1,1,0.39,9,5,0.226,0
0,0,0,0.04,7,4,0.854,1
0,0,0,0.3,3,5,0.846,1
2,0,1,0.5,4,1,0.254,0
10,0,1,0.3,7,8,0.09,0
9,0,1,0.15,1,6,0.033,0
0,0,0,0.24,9,8,0.711,1
0,0,0,0.26,8,5,0.755,1
4,1,1,0.16,12,1,0.196,0
4,0,1,0.57,3,1,0.099,0
0,0,0,0.62,3,6,0.953,1
3,1,1,0.35,5,8,0.266,0
0,0,0,0.41,12,4,0.83,1
2,0,1,0.54,13,7,0.068,0
0,0,0,0.11,10,2,0.715,1
9,0,1,0.05,7,4,0.184,0
5,1,1,0.05,8,7,0.299,0
0,0,0,0.39,1,9,0.925,1
0,0,0,0.11,6,3,0.708,1
0,0,0,0.18,12,9,0.93,1
10,0,1,0.4,4,1,0.149,0
4,0,1,0.17,2,1,0.027,0
5,1,1,0.45,4,2,0.124,0
6,0,1,0.34,10,9,0.077,0
2,1,1,0.11,11,6,0.138,0
0,0,0,0.13,11,2,0.716,1
0,0,0,0.02,8,6,0.807,1
0,0,0,0.27,13,9,0.765,1
0,0,0,0.16,6,9,0.774,1
5,0,1,0.39,10,8,0.244,0
0,0,0,0.16,12,1,0.71,1
0,0,0,0.3,13,1,0.976,1
0,0,0,0.42,9,9,0.796,1
3,0,1,0.18,4,6,0.067,0
9,1,1,0.54,1,7,0.15,0
0,0,0,0.27,12,6,0.775,1
5,0,1,0.47,13,2,0.103,0
9,0,1,0.29,7,3,0.169,0
0,0,0,0.22,12,2,0.871,1
0,0,0,0.51,12,7,0.872,1
0,0,0,0.49,5,5,0.767,1
7,0,1,0.05,8,9,0.083,0
0,0,0,0.57,11,7,0.738,1
8,1,1,0.33,4,3,0.122,0
0,0,0,0.3,7,3,0.805,1
3,0,1,0.38,8,5,0.293,0
0,0,0,0.19,3,2,0.765,1
7,0,1,0.24,10,1,0.146,0
0,0,0,0.37,4,7,0.9,1
0,0,0,0.26,7,3,0.959,1
5,0,1,0.29,3,7,0.208,0
9,1,1,0.2,2,3,0.025,0
0,0,0,0.39,5,2,0.817,1
0,0,0,0.17,10,9,0.734,1
9,0,1,0.07,11,3,0.049,0
0,0,0,0.81,12,5,0.96,1
0,0,0,0.21,6,8,0.93,1
0,0,0,0.08,3,9,0.894,1
0,0,0,0.17,4,9,0.924,1
7,0,1,0.34,1,5,0.138,0
0,0,0,0.38,2,7,0.726,1
0,0,0,0.37,11,5,0.853,1
6,0,1,0.26,2,8,0.029,0
0,0,0,0.42,13,3,0.951,1
0,0,0,0.11,11,1,0.98,1
0,0,0,0.3,10,1,0.938,1
0,0,0,0.14,5,1,0.937,1
0,0,0,0.45,2,6,0.77,1
3,1,1,0.45,2,3,0.163,0
9,1,1,0.43,9,8,0.143,0
5,0,1,0.14,9,3,0.038,0
8,0,1,0.23,13,2,0.284,0
